,基金代码,拼音缩写,基金简称,基金类型,拼音全称
2419,003210,BSZZCZZQ,博时智臻纯债债券,债券型,BOSHIZHIZHENCHUNZHAIZHAIQUAN
2420,003213,ZYYXDQKFZQFQS,中银悦享定期开放债券发起式,定开债券,ZHONGYINYUEXIANGDINGQIKAIFANGZHAIQUANFAQISHI
2421,003214,YFDFHCZZQ,易方达富惠纯债债券,债券型,YIFANGDAFUHUICHUNZHAIZHAIQUAN
2422,003218,QHKYXHZQA,前海开源祥和债券A,债券型,QIANHAIKAIYUANXIANGHEZHAIQUANA
2423,003219,QHKYXHZQC,前海开源祥和债券C,债券型,QIANHAIKAIYUANXIANGHEZHAIQUANC
2424,003220,ZSHLCZZQ,浙商惠利纯债债券,债券型,ZHESHANGHUILICHUNZHAIZHAIQUAN
2425,003221,XHFLZQA,新华丰利债券A,债券型,XINHUAFENGLIZHAIQUANA
2426,003222,XHFLZQC,新华丰利债券C,债券型,XINHUAFENGLIZHAIQUANC
2427,003223,GFJFCZ,广发景丰纯债,债券型,GUANGFAJINGFENGCHUNZHAI
2428,003226,XCWJZQA,信诚稳健债券A,债券型,XINCHENGWENJIANZHAIQUANA
2429,003227,XCWJZQC,信诚稳健债券C,债券型,XINCHENGWENJIANZHAIQUANC
2430,003228,PYASRRXHBA,浦银安盛日日鑫货币A,货币型,PUYINANSHENGRIRIXINHUOBIA
2431,003229,PYASRRXHBB,浦银安盛日日鑫货币B,货币型,PUYINANSHENGRIRIXINHUOBIB
2432,003230,CJHXYLBJGPA,创金合信医疗保健股票A,股票型,CHUANGJINHEXINYILIAOBAOJIANGUPIAOA
2433,003231,CJHXYLBJGPC,创金合信医疗保健股票C,股票型,CHUANGJINHEXINYILIAOBAOJIANGUPIAOC
2434,003232,CJHXJRDCA,创金合信金融地产A,股票型,CHUANGJINHEXINJINRONGDICHANA
2435,003233,CJHXJRDCC,创金合信金融地产C,股票型,CHUANGJINHEXINJINRONGDICHANC
2436,003234,XCZLHHA,信诚至利混合A,混合型,XINCHENGZHILIHUNHEA
2437,003235,XCZLHHC,信诚至利混合C,混合型,XINCHENGZHILIHUNHEC
2438,003236,XCHYZQA,信诚惠盈债券A,债券型,XINCHENGHUIYINGZHAIQUANA
2439,003237,XCHYZQC,信诚惠盈债券C,债券型,XINCHENGHUIYINGZHAIQUANC
2440,003238,XHWYZZZTLHPZHH,新华外延增长主题灵活配置混合,混合型,XINHUAWAIYANZENGZHANGZHUTILINGHUOPEIZHIHUNHE
2441,003239,BSAQ6GYDKZA,博时安祺6个月定开债A,定开债券,BOSHIANQI6GEYUEDINGKAIZHAIA
2442,003240,BSAQ6GYDKZC,博时安祺6个月定开债C,定开债券,BOSHIANQI6GEYUEDINGKAIZHAIC
2443,003241,CJHXLHFXHHA,创金合信量化发现混合A,混合型,CHUANGJINHEXINLIANGHUAFAXIANHUNHEA
2444,003242,CJHXLHFXHHC,创金合信量化发现混合C,混合型,CHUANGJINHEXINLIANGHUAFAXIANHUNHEC
2445,003243,STMGZGSJRMB,上投摩根中国世纪人民币,QDII,SHANGTOUMOGENZHONGGUOSHIJIRENMINBI
2446,003244,STMGZGSJMYXC,上投摩根中国世纪美元现钞,QDII,SHANGTOUMOGENZHONGGUOSHIJIMEIYUANXIANCHAO
2447,003245,STMGZGSJMYXH,上投摩根中国世纪美元现汇,QDII,SHANGTOUMOGENZHONGGUOSHIJIMEIYUANXIANHUI
2448,003246,HTBRTTBHBA,华泰柏瑞天添宝货币A,货币型,HUATAIBAIRUITIANTIANBAOHUOBIA
2449,003252,DCTYJYXHBA,大成添益交易型货币A,货币型,DACHENGTIANYIJIAOYIXINGHUOBIA
2450,003253,DCTYJYXHBB,大成添益交易型货币B,货币型,DACHENGTIANYIJIAOYIXINGHUOBIB
2451,003254,QHKYDYZQA,前海开源鼎裕债券A,债券型,QIANHAIKAIYUANDINGYUZHAIQUANA
2452,003255,QHKYDYZQC,前海开源鼎裕债券C,债券型,QIANHAIKAIYUANDINGYUZHAIQUANC
2453,003258,BSFXCZZQA,博时富祥纯债债券A,债券型,BOSHIFUXIANGCHUNZHAIZHAIQUANA
2454,003259,BSJLCZZQ,博时聚利纯债债券,债券型,BOSHIJULICHUNZHAIZHAIQUAN
2455,003260,BSLFCZ,博时利发纯债,债券型,BOSHILIFACHUNZHAI
2456,003264,XHHQTLHBB,新华活期添利货币B,货币型,XINHUAHUOQITIANLIHUOBIB
2457,003265,ZSZKCZA,招商招坤纯债A,债券型,ZHAOSHANGZHAOKUNCHUNZHAIA
2458,003266,ZSZKCZC,招商招坤纯债C,债券型,ZHAOSHANGZHAOKUNCHUNZHAIC
2459,003267,XHYNBHBB,新华壹诺宝货币B,货币型,XINHUAYINUOBAOHUOBIB
2460,003268,BSYCCZ,博时悦楚纯债,债券型,BOSHIYUECHUCHUNZHAI
2461,003269,ZSZQ3GYDKZA,招商招乾3个月定开债A,定开债券,ZHAOSHANGZHAOQIAN3GEYUEDINGKAIZHAIA
2462,003270,ZSZQ3GYDKZC,招商招乾3个月定开债C,定开债券,ZHAOSHANGZHAOQIAN3GEYUEDINGKAIZHAIC
2463,003273,AXYFDKZQA,安信永丰定开债券A,定开债券,ANXINYONGFENGDINGKAIZHAIQUANA
2464,003274,AXYFDKZQC,安信永丰定开债券C,定开债券,ANXINYONGFENGDINGKAIZHAIQUANC
2465,003275,GLATLZZZA,国联安添利增长债A,债券型,GUOLIANANTIANLIZENGZHANGZHAIA
2466,003276,GLATLZZZC,国联安添利增长债C,债券型,GUOLIANANTIANLIZENGZHANGZHAIC
2467,003277,XCWRZQA,信诚稳瑞债券A,债券型,XINCHENGWENRUIZHAIQUANA
2468,003278,XCWRZQC,信诚稳瑞债券C,债券型,XINCHENGWENRUIZHAIQUANC
2469,003279,RTHGSZHSHLHPZHH,融通沪港深智慧生活灵活配置混合,混合型,RONGTONGHUGANGSHENZHIHUISHENGHUOLINGHUOPEIZHIHUNHE
2470,003280,PHFHZQ,鹏华丰恒债券,债券型,PENGHUAFENGHENGZHAIQUAN
2471,003281,GFHQBHBB,广发活期宝货币B,货币型,GUANGFAHUOQIBAOHUOBIB
2472,003282,XCZYLHPZHHA,信诚至裕灵活配置混合A,混合型,XINCHENGZHIYULINGHUOPEIZHIHUNHEA
2473,003283,XCZYLHPZHHC,信诚至裕灵活配置混合C,混合型,XINCHENGZHIYULINGHUOPEIZHIHUNHEC
2474,003284,ZYYYJKHH,中邮医药健康混合,混合型,ZHONGYOUYIYAOJIANKANGHUNHE
2475,003285,GSABAKCZZQ,国寿安保安康纯债债券,债券型,GUOSHOUANBAOANKANGCHUNZHAIZHAIQUAN
2476,003286,PAHXCZA,平安惠享纯债A,债券型,PINGANHUIXIANGCHUNZHAIA
2477,003287,ZXBCWYA,中信保诚稳益A,债券型,ZHONGXINBAOCHENGWENYIA
2478,003288,ZXBCWYC,中信保诚稳益C,债券型,ZHONGXINBAOCHENGWENYIC
2479,003289,CJHXZTCZZQ,创金合信尊泰纯债债券,债券型,CHUANGJINHEXINZUNTAICHUNZHAIZHAIQUAN
2480,003290,CCJWZQA,长城久稳债券A,债券型,CHANGCHENGJIUWENZHAIQUANA
2481,003291,XDAYJKZGHH,信达澳银健康中国混合,混合型,XINDAAOYINJIANKANGZHONGGUOHUNHE
2482,003292,JSYSCZHH,嘉实优势成长混合,混合型,JIASHIYOUSHICHENGZHANGHUNHE
2483,003293,YFDKRHH,易方达科瑞混合,混合型,YIFANGDAKERUIHUNHE
2484,003295,NFAYHHA,南方安裕混合A,混合型,NANFANGANYUHUNHEA
2485,003297,ZSSZZQZQLOFE,招商双债增强债券(LOF)E,债券型,ZHAOSHANGSHUANGZHAIZENGQIANGZHAIQUANLOFE
2486,003298,JSWLCYGPA,嘉实物流产业股票A,股票型,JIASHIWULIUCHANYEGUPIAOA
2487,003299,JSWLCYGPC,嘉实物流产业股票C,股票型,JIASHIWULIUCHANYEGUPIAOC
2488,003300,HXYHHH,华夏圆和混合,混合型,HUAXIAYUANHEHUNHE
2489,003301,HXDRZQA,华夏鼎融债券A,债券型,HUAXIADINGRONGZHAIQUANA
2490,003302,HXDRZQC,华夏鼎融债券C,债券型,HUAXIADINGRONGZHAIQUANC
2491,003304,QHKYHGSHXZYHHA,前海开源沪港深核心资源混合A,混合型,QIANHAIKAIYUANHUGANGSHENHEXINZIYUANHUNHEA
2492,003305,QHKYHGSHXZYHHC,前海开源沪港深核心资源混合C,混合型,QIANHAIKAIYUANHUGANGSHENHEXINZIYUANHUNHEC
2493,003308,ZXJTRLA,中信建投睿利A,混合型,ZHONGXINJIANTOURUILIA
2494,003309,XYQYYNDKZA,兴业启元一年定开债A,定开债券,XINGYEQIYUANYINIANDINGKAIZHAIA
2495,003310,XYQYYNDKZC,兴业启元一年定开债C,定开债券,XINGYEQIYUANYINIANDINGKAIZHAIC
2496,003313,ZYRXDKZQ,中银睿享定开债券,定开债券,ZHONGYINRUIXIANGDINGKAIZHAIQUAN
2497,003314,ZSHNCZZQ,浙商惠南纯债债券,债券型,ZHESHANGHUINANCHUNZHAIZHAIQUAN
2498,003315,JSCCZCXJRZ,景顺长城政策性金融债,债券型,JINGSHUNCHANGCHENGZHENGCEXINGJINRONGZHAI
2499,003316,ZYZQXJGJHBA,中银证券现金管家货币A,货币型,ZHONGYINZHENGQUANXIANJINGUANJIAHUOBIA
2500,003317,ZYZQXJGJHBB,中银证券现金管家货币B,货币型,ZHONGYINZHENGQUANXIANJINGUANJIAHUOBIB
2501,003318,JSZZ500HYZXDBD,景顺中证500行业中性低波动,股票指数,JINGSHUNZHONGZHENG500HANGYEZHONGXINGDIBODONG
2502,003319,JXRFTLHHA,建信瑞丰添利混合A,混合型,JIANXINRUIFENGTIANLIHUNHEA
2503,003320,JXRFTLHHC,建信瑞丰添利混合C,混合型,JIANXINRUIFENGTIANLIHUNHEC
2504,003321,YFDYYCLRMB,易方达原油C类人民币,QDII,YIFANGDAYUANYOUCLEIRENMINBI
